floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
18.0,22.0,2.75,61000.0,47.4,20.4,12.9,Moskovsky,Yes,2,frame-block,combined,Loggia,2019.0
17.0,25.0,2.7,169000.0,91.0,79.0,11.0,Oktyabrsky,Yes,4,frame-block,2,Loggia,2019.0
8.0,9.0,2.53,78000.0,62.9,43.2,7.1,Moskovsky,No,3,panel,separate,Balcony,1991.0
6.0,9.0,2.5,69000.0,46.4,28.2,7.4,Zavodskoy,Yes,2,panel,separate,Loggia,1992.0
12.0,18.0,2.72,134000.0,70.6,34.5,12.2,Moskovsky,Yes,2,frame-block,combined,Two balconies,2014.0
2.0,16.0,2.7,40000.0,33.65,27.19,6.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
2.0,16.0,2.7,41000.0,33.8,20.0,7.0,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2020.0
8.0,16.0,2.7,62000.0,58.24,24.33,21.38,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
2.0,16.0,2.7,50000.0,41.6,22.94,8.0,Oktyabrsky,Yes,2,frame-block,separate,Loggia,2021.0
10.0,16.0,2.7,62000.0,55.12,38.24,10.0,Oktyabrsky,Yes,3,frame-block,combined,Loggia,2021.0
4.0,4.0,2.7,63000.0,32.0,23.0,7.0,Sovetsky,Yes,1,brick,combined,Without,1968.0
5.0,5.0,2.7,22000.0,48.4,17.87,7.59,Frunzensky,Yes,2,block-rooms,separate,Without,1973.0
1.0,4.0,2.63,42000.0,34.2,23.0,5.3,Pervomaisky,Yes,1,brick,combined,Without,1959.0
5.0,6.0,2.7,129000.0,52.8,31.9,8.3,Leninsky,Yes,2,brick,separate,Balcony,1958.0
6.0,20.0,2.72,54000.0,45.0,30.0,11.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
8.0,25.0,2.7,38000.0,32.0,19.0,8.0,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2021.0
9.0,16.0,2.7,73000.0,72.24,45.67,9.0,Oktyabrsky,Yes,4,frame-block,separate,Loggia,2021.0
7.0,13.0,2.74,92000.0,66.9,35.7,9.7,Frunzensky,Yes,2,brick,separate,Loggia,2003.0
15.0,19.0,2.7,69000.0,44.5,18.0,9.2,Moskovsky,No,1,panel,separate,Loggia,2001.0
10.0,16.0,2.7,62000.0,55.12,38.24,10.0,Oktyabrsky,Yes,3,frame-block,combined,Loggia,2021.0
10.0,16.0,2.7,72000.0,71.54,45.67,9.0,Oktyabrsky,Yes,4,frame-block,separate,Loggia,2021.0
3.0,15.0,2.7,150000.0,121.4,78.7,11.0,Pervomaisky,Yes,4,brick,separate,Loggia,1997.0
21.0,25.0,2.7,35000.0,29.0,14.34,6.95,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
15.0,15.0,2.7,53000.0,56.44,41.62,7.04,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
18.0,25.0,2.7,35000.0,28.6,18.5,7.0,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2021.0
11.0,16.0,2.7,73000.0,71.91,35.89,18.78,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
4.0,5.0,2.5,59000.0,50.0,35.4,6.0,Frunzensky,Yes,3,panel,combined,Balcony,1966.0
1.0,8.0,2.75,90000.0,71.8,50.6,7.2,Sovetsky,No,3,brick,separate,Without,1968.0
5.0,5.0,2.5,68000.0,53.6,35.1,6.5,Tsentralny,No,2,brick,separate,Balcony,1974.0
6.0,9.0,2.54,103000.0,78.9,46.4,10.1,Frunzensky,No,3,panel,separate,Loggia,2008.0
16.0,16.0,2.7,72000.0,71.54,35.89,18.78,Oktyabrsky,Yes,3,frame-block,separate,Loggia,2021.0
16.0,25.0,2.7,35000.0,29.53,18.0,7.0,Oktyabrsky,Yes,1,monolithic,separate,Loggia,2020.0
